state_id,a,b,r,U,L,new_blue,new_red,blue_target,blue_power,red_allowed,red_target,red_power,c0,c1,c2,c3,c4,lower_bound,upper_bound,status
q125,N,Bo,R,B B B,R Ro Ro,Bo,Ro,q373,2,1,q121,1,0,0,0,0,0,0,0,zero
q125,N,Bo,R,B B B,R Ro Ro,Bo,R,q373,2,1,q122,1,17169,77559,73878,-92379,-34731,952123895274363425139/244140625000000000000,4736488113127455875215029/1000000000000000000000000,positive
q125,N,Bo,R,B B B,R Ro Ro,B,Ro,q381,2,1,q121,1,-1300,-5878,-5604,7004,2634,924050507310105490780997/500000000000000000000000,233342067106614318227/122070312500000000000,positive
q125,N,Bo,R,B B B,R Ro Ro,B,R,q381,2,1,q122,1,15869,71681,68274,-85375,-32097,1418808029487592061593/244140625000000000000,6584589127747666856777023/1000000000000000000000000,positive
q126,N,Bo,R,B B B,R Ro R,Bo,Ro,q374,2,1,q123,1,0,0,0,0,0,0,0,zero
q126,N,Bo,R,B B B,R Ro R,Bo,R,q374,2,1,q124,1,-12952,-58506,-55708,69656,26214,2785004634070712131754387/500000000000000000000000,756959064573427721717/122070312500000000000,positive
q126,N,Bo,R,B B B,R Ro R,B,Ro,q382,2,1,q123,1,378,1722,1656,-2058,-774,241743111354723550353/122070312500000000000,999508146551567840087133/500000000000000000000000,positive
q126,N,Bo,R,B B B,R Ro R,B,R,q382,2,1,q124,1,-12574,-56784,-54052,67598,25440,47306409757778499648019/6250000000000000000000,99870217592815127207/12207031250000000000,positive
q127,N,Bo,R,B B B,R R Ro,Bo,Ro,q375,2,1,q125,1,0,0,0,0,0,0,0,zero
q127,N,Bo,R,B B B,R R Ro,Bo,R,q375,2,1,q126,1,-6484,-29282,-27880,34888,13098,1682552900280629853587509/500000000000000000000000,449326210893993439569/122070312500000000000,positive
q127,N,Bo,R,B B B,R R Ro,B,Ro,q383,2,1,q125,1,378,1722,1656,-2058,-774,241743111354723550353/122070312500000000000,999508146551567840087133/500000000000000000000000,positive
q127,N,Bo,R,B B B,R R Ro,B,R,q383,2,1,q126,1,-6106,-27560,-26224,32830,12324,1341030523416098846837321/250000000000000000000000,345534661124358494961/61035156250000000000,positive
q128,N,Bo,R,B B B,R R R,Bo,Ro,q376,2,1,q127,1,0,0,0,0,0,0,0,zero
q128,N,Bo,R,B B B,R R R,Bo,R,q376,2,1,q128,1,-6007,-27127,-25818,32297,12147,3478821699523025232955027/1000000000000000000000000,920732292238424367457/244140625000000000000,positive
q128,N,Bo,R,B B B,R R R,B,Ro,q384,2,1,q127,1,378,1722,1656,-2058,-774,241743111354723550353/122070312500000000000,999508146551567840087133/500000000000000000000000,positive
q128,N,Bo,R,B B B,R R R,B,R,q384,2,1,q128,1,-5629,-25405,-24162,30239,11373,5477837992626160913129293/1000000000000000000000000,1404218514947871468163/244140625000000000000,positive
q129,N,B,Ro,Bo Bo Bo,Ro Ro Ro,Bo,Ro,q001,0,1,q129,0,-3192,-13944,-16416,18360,7128,384205810816273278357531/125000000000000000000000,98994788824979509071/30517578125000000000,positive
q129,N,B,Ro,Bo Bo Bo,Ro Ro Ro,Bo,R,q001,0,1,q130,0,-1596,-6972,-8208,9180,3564,384205810816273278357531/250000000000000000000000,98994788824979509071/61035156250000000000,positive
q129,N,B,Ro,Bo Bo Bo,Ro Ro Ro,B,Ro,q009,0,1,q129,0,-1596,-6972,-8208,9180,3564,384205810816273278357531/250000000000000000000000,98994788824979509071/61035156250000000000,positive
q129,N,B,Ro,Bo Bo Bo,Ro Ro Ro,B,R,q009,0,1,q130,0,0,0,0,0,0,0,0,zero
q130,N,B,Ro,Bo Bo Bo,Ro Ro R,Bo,Ro,q002,0,1,q131,0,-180,-684,-960,996,396,203047867276943673373059/250000000000000000000000,50144761124361674619/61035156250000000000,positive
q130,N,B,Ro,Bo Bo Bo,Ro Ro R,Bo,R,q002,0,1,q132,0,-180,-684,-960,996,396,203047867276943673373059/250000000000000000000000,50144761124361674619/61035156250000000000,positive
q130,N,B,Ro,Bo Bo Bo,Ro Ro R,B,Ro,q010,0,1,q131,0,0,0,0,0,0,0,0,zero
q130,N,B,Ro,Bo Bo Bo,Ro Ro R,B,R,q010,0,1,q132,0,0,0,0,0,0,0,0,zero
q131,N,B,Ro,Bo Bo Bo,Ro R Ro,Bo,Ro,q003,0,1,q133,0,-1400,-6464,-6684,7972,3036,607525821180670723860119/250000000000000000000000,19096568208528835963/7629394531250000000,positive
q131,N,B,Ro,Bo Bo Bo,Ro R Ro,Bo,R,q003,0,1,q134,0,0,0,0,0,0,0,0,zero
q131,N,B,Ro,Bo Bo Bo,Ro R Ro,B,Ro,q011,0,1,q133,0,-1400,-6464,-6684,7972,3036,607525821180670723860119/250000000000000000000000,19096568208528835963/7629394531250000000,positive
q131,N,B,Ro,Bo Bo Bo,Ro R Ro,B,R,q011,0,1,q134,0,0,0,0,0,0,0,0,zero
q132,N,B,Ro,Bo Bo Bo,Ro R R,Bo,Ro,q004,0,1,q135,0,0,0,0,0,0,0,0,zero
q132,N,B,Ro,Bo Bo Bo,Ro R R,Bo,R,q004,0,1,q136,0,0,0,0,0,0,0,0,zero
q132,N,B,Ro,Bo Bo Bo,Ro R R,B,Ro,q012,0,1,q135,0,6078,27396,26232,-32706,-12312,22370310602997826683/15258789062500000000,220307397894866639177901/125000000000000000000000,positive
q132,N,B,Ro,Bo Bo Bo,Ro R R,B,R,q012,0,1,q136,0,6078,27396,26232,-32706,-12312,22370310602997826683/15258789062500000000,220307397894866639177901/125000000000000000000000,positive
q133,N,B,Ro,Bo Bo Bo,R Ro Ro,Bo,Ro,q005,0,1,q193,2,-2044,-9520,-9780,11696,4452,668615539161960487648633/250000000000000000000000,42440953768814782807/15258789062500000000,positive
q133,N,B,Ro,Bo Bo Bo,R Ro Ro,Bo,R,q005,0,1,q194,2,-1144,-5308,-5412,6500,2472,73028598726730951391669/125000000000000000000000,39283129341476320633/61035156250000000000,positive
q133,N,B,Ro,Bo Bo Bo,R Ro Ro,B,Ro,q013,0,1,q193,2,-900,-4212,-4368,5196,1980,104511668341699716973059/50000000000000000000000,26096137146756562119/12207031250000000000,positive
q133,N,B,Ro,Bo Bo Bo,R Ro Ro,B,R,q013,0,1,q194,2,0,0,0,0,0,0,0,zero
q134,N,B,Ro,Bo Bo Bo,R Ro R,Bo,Ro,q006,0,1,q195,2,0,0,0,0,0,0,0,zero
